MIME type,compressed,Go compression package
application/vnd.oasis.opendocument.spreadsheet-template,FALSE,
application/vnd.oasis.opendocument.text-template,FALSE,
application/vnd.openofficeorg.extension,FALSE,
text/x-pascal,FALSE,
application/pkcs10,FALSE,
application/x-pkcs12,FALSE,
application/x-pkcs7-certificates,FALSE,
application/pkcs7-mime,FALSE,
application/x-pkcs7-certreqresp,FALSE,
application/pkcs7-signature,FALSE,
application/vnd.powerbuilder6,FALSE,
image/x-portable-bitmap,FALSE,
application/x-font-pcf,FALSE,
application/vnd.hp-pcl,FALSE,
application/vnd.hp-pclxl,FALSE,
image/x-pict,FALSE,
application/vnd.curl.pcurl,FALSE,
image/x-pcx,FALSE,
application/pdf,FALSE,
application/font-tdpfr,FALSE,
image/x-portable-graymap,FALSE,
application/x-chess-pgn,FALSE,
application/pgp-encrypted,FALSE,
application/pkixcmp,FALSE,
application/pkix-pkipath,FALSE,
application/vnd.3gpp.pic-bw-large,FALSE,
application/vnd.mobius.plc,FALSE,
application/vnd.pocketlearn,FALSE,
application/pls+xml,FALSE,
application/vnd.ctc-posml,FALSE,
image/png,FALSE,
image/x-portable-anymap,FALSE,
application/vnd.macports.portpkg,FALSE,
application/vnd.ms-powerpoint,FALSE,
application/vnd.ms-powerpoint.template.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.presentationml.template,FALSE,
application/vnd.ms-powerpoint.addin.macroenabled.12,FALSE,
application/vnd.cups-ppd,FALSE,
image/x-portable-pixmap,FALSE,
application/vnd.ms-powerpoint.slideshow.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.presentationml.slideshow,FALSE,
application/vnd.ms-powerpoint.presentation.macroenabled.12,FALSE,
application/vnd.openxmlformats-officedocument.presentationml.presentation,FALSE,
application/vnd.lotus-freelance,FALSE,
application/pics-rules,FALSE,
application/prql,FALSE,
application/vnd.3gpp.pic-bw-small,FALSE,
image/vnd.adobe.photoshop,FALSE,
application/x-font-linux-psf,FALSE,
application/vnd.pvi.ptid1,FALSE,
application/x-mspublisher,FALSE,
application/vnd.3gpp.pic-bw-var,FALSE,
application/vnd.3m.post-it-notes,FALSE,
text/x-python,TRUE,archive/zip
audio/vnd.ms-playready.media.pya,FALSE,
video/vnd.ms-playready.media.pyv,FALSE,
application/vnd.epson.quickanime,FALSE,
application/vnd.intu.qbo,FALSE,
application/vnd.intu.qfx,FALSE,
application/vnd.publishare-delta-tree,FALSE,
application/vnd.quark.quarkxpress,FALSE,
audio/x-pn-realaudio,FALSE,
application/vnd.rar,FALSE,
application/x-rar-compressed,FALSE,
image/x-cmu-raster,FALSE,
application/vnd.ipunplugged.rcprofile,FALSE,
application/rdf+xml,FALSE,
application/vnd.data-vision.rdz,FALSE,
application/vnd.businessobjects,FALSE,
application/x-dtbresource+xml,FALSE,
image/x-rgb,FALSE,
application/reginfo+xml,FALSE,
application/resource-lists+xml,FALSE,
image/vnd.fujixerox.edmics-rlc,FALSE,
application/resource-lists-diff+xml,FALSE,
application/vnd.rn-realmedia,FALSE,
audio/x-pn-realaudio-plugin,FALSE,
application/vnd.jcp.javame.midlet-rms,FALSE,
application/relax-ng-compact-syntax,FALSE,
application/x-rpm,FALSE,
application/vnd.nokia.radio-presets,FALSE,
